walk_id,experiment,test_accuracy,test_macro_f1,test_auc,cohen_kappa,mcc,sharpe_ratio,max_drawdown,profit_factor,win_rate,total_trades,n_samples
1,CNN_Heatmap,0.319285,0.315712,0.504514,-0.016297,-0.01683,-0.675203,-0.457128,0.778126,0.460655,1741,2349
2,CNN_Heatmap,0.366623,0.364099,0.532475,0.046843,0.046875,0.129386,-0.162678,1.055924,0.524453,1554,2313
3,CNN_Heatmap,0.317746,0.316751,0.492405,-0.016594,-0.016846,-0.570027,-0.243726,0.816382,0.474247,1029,1668
4,CNN_Heatmap,0.354474,0.354325,0.527071,0.042891,0.044057,-0.051906,-0.31188,0.980785,0.499308,1446,2034
5,CNN_Heatmap,0.332903,0.323695,0.487819,-0.007995,-0.008091,0.070383,-0.09289,1.02788,0.504403,1590,2325
6,CNN_Heatmap,0.323762,0.316212,0.497412,-0.002637,-0.002746,0.030043,-0.168419,1.011381,0.497696,868,1393
7,CNN_Heatmap,0.337976,0.337659,0.51101,0.008907,0.008953,-0.032206,-0.184008,0.988531,0.506616,1587,2441
8,CNN_Heatmap,0.351086,0.346968,0.524414,0.020492,0.020558,0.208875,-0.088157,1.089096,0.507183,1601,2347
9,CNN_Heatmap,0.334919,0.3288,0.511982,0.010855,0.011312,0.275136,-0.102558,1.108259,0.514956,1237,2523
10,CNN_Heatmap,0.321472,0.313825,0.502823,-0.008142,-0.008496,-0.155803,-0.280925,0.94092,0.493269,1040,1630
11,CNN_Heatmap,0.346184,0.328453,0.502995,0.003188,0.003275,0.135711,-0.149287,1.050448,0.506279,1752,2594
12,CNN_Heatmap,0.329435,0.301096,0.478064,-0.037828,-0.038813,-0.227859,-0.20565,0.924012,0.484848,726,1026
13,CNN_Heatmap,0.380267,0.342577,0.511944,0.017986,0.018149,0.430987,-0.177645,1.187095,0.538093,2087,2848
14,CNN_Heatmap,0.392962,0.334537,0.508348,0.022293,0.023485,-0.128038,-0.193567,0.957589,0.497143,875,1023
15,CNN_Heatmap,0.353908,0.343573,0.510752,0.016578,0.016733,0.005341,-0.172182,1.002214,0.505735,1918,2495
16,CNN_Heatmap,0.332046,0.323708,0.492532,-0.012488,-0.0125,0.000434,-0.1208,1.00016,0.491713,543,777
17,CNN_Heatmap,0.351048,0.340742,0.52387,0.020559,0.02089,0.167108,-0.075629,1.067274,0.520575,1531,2051
18,CNN_Heatmap,0.323577,0.300779,0.475306,-0.04638,-0.047163,0.024048,-0.085372,1.008657,0.483568,426,615
